"isocode","isoabbr","state_province","iso_state","date","dimension","subnational","total_change","branch","who","institution","report_date","expiration_date","report_change"
104,"MM","Magway","MM-03",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Magway","MM-03",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Magway","MM-03",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Mandalay","MM-04",2020-01-27,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-01-27,2020-11-30,0.333
104,"MM","Mandalay","MM-04",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Mandalay","MM-04",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Mandalay","MM-04",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Mandalay","MM-04",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Mandalay","MM-04",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Mandalay","MM-04",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Mandalay","MM-04",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Mandalay","MM-04",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Mandalay","MM-04",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Mandalay","MM-04",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Mandalay","MM-04",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Mandalay","MM-04",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Mandalay","MM-04",2020-11-01,"ind_mob",1,0.2,"executive leadership",NA,"Provincial Government",2020-11-01,2020-11-15,0.2
104,"MM","Mandalay","MM-04",2020-05-09,"masks",1,1,"executive leadership",NA,"Provincial Government",2020-05-09,NA,1
104,"MM","Mandalay","MM-04",2020-09-05,"med_stay",1,1,"executive leadership",NA,"Provincial Government",2020-09-05,NA,1
104,"MM","Mandalay","MM-04",2020-11-01,"ne_busn",1,1,"executive leadership",NA,"Provincial Government",2020-11-01,2020-11-15,1
104,"MM","Mandalay","MM-04",2020-11-01,"restrts",1,1,"executive leadership",NA,"Provincial Government",2020-11-01,2020-11-15,1
104,"MM","Mandalay","MM-04",2020-05-09,"soc_gath",1,1,"executive leadership",NA,"Provincial Government",2020-05-09,NA,1
104,"MM","Mandalay","MM-04",2020-11-01,"venues",1,1,"executive leadership",NA,"Provincial Government",2020-11-01,2020-11-15,1
104,"MM","Tanintharyi","MM-05",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Tanintharyi","MM-05",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Tanintharyi","MM-05",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Tanintharyi","MM-05",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Tanintharyi","MM-05",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Tanintharyi","MM-05",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Tanintharyi","MM-05",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Tanintharyi","MM-05",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Tanintharyi","MM-05",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Tanintharyi","MM-05",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Tanintharyi","MM-05",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Tanintharyi","MM-05",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Tanintharyi","MM-05",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Yangon","MM-06",2020-01-27,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-01-27,2020-11-30,0.333
104,"MM","Yangon","MM-06",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Yangon","MM-06",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Yangon","MM-06",2020-09-20,"ind_mob",0,0.6,"executive leadership",NA,"Ministry of Health",2020-09-20,2020-11-30,0.6
104,"MM","Yangon","MM-06",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Yangon","MM-06",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Yangon","MM-06",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Yangon","MM-06",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Yangon","MM-06",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Yangon","MM-06",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Yangon","MM-06",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Yangon","MM-06",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Yangon","MM-06",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Yangon","MM-06",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Yangon","MM-06",2020-04-18,"ind_mob",1,1,"executive leadership",NA,"Provincial Government",2020-04-18,2020-12-31,1
104,"MM","Yangon","MM-06",2020-05-09,"masks",1,1,"executive leadership",NA,"Provincial Government",2020-05-09,NA,1
104,"MM","Yangon","MM-06",2020-04-21,"publ_tr",1,1,"executive leadership",NA,"Provincial Government",2020-04-21,2020-12-31,1
104,"MM","Yangon","MM-06",2020-05-09,"soc_gath",1,1,"executive leadership",NA,"Provincial Government",2020-05-09,NA,1
104,"MM","Yangon","MM-06",2020-08-19,"venues",1,1,"executive leadership",NA,"Provincial Government",2020-08-19,2020-12-31,1
104,"MM","Ayeyarwady","MM-07",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Ayeyarwady","MM-07",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Ayeyarwady","MM-07",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Ayeyarwady","MM-07",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Ayeyarwady","MM-07",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Ayeyarwady","MM-07",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Ayeyarwady","MM-07",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Ayeyarwady","MM-07",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Ayeyarwady","MM-07",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Ayeyarwady","MM-07",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Ayeyarwady","MM-07",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Ayeyarwady","MM-07",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Ayeyarwady","MM-07",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Ayeyarwady","MM-07",2020-05-09,"masks",1,1,"executive leadership",NA,"Provincial Government",2020-05-09,NA,1
104,"MM","Ayeyarwady","MM-07",2020-05-09,"soc_gath",1,1,"executive leadership",NA,"Provincial Government",2020-05-09,NA,1
104,"MM","Kachin","MM-11",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Kachin","MM-11",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Kachin","MM-11",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Kachin","MM-11",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Kachin","MM-11",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Kachin","MM-11",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Kachin","MM-11",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Kachin","MM-11",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Kachin","MM-11",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Kachin","MM-11",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Kachin","MM-11",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Kachin","MM-11",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Kachin","MM-11",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Kachin","MM-11",2020-04-06,"ind_mob",1,0.8,"executive leadership",NA,"Provincial Government",2020-04-06,NA,0.8
104,"MM","Kachin","MM-11",2020-04-06,"publ_tr",1,1,"executive leadership",NA,"Provincial Government",2020-04-06,NA,1
104,"MM","Kayah","MM-12",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Kayah","MM-12",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Kayah","MM-12",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Kayah","MM-12",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Kayah","MM-12",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Kayah","MM-12",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Kayah","MM-12",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Kayah","MM-12",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Kayah","MM-12",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Kayah","MM-12",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Kayah","MM-12",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Kayah","MM-12",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Kayah","MM-12",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Kayah","MM-12",2020-04-06,"ind_mob",1,0.8,"executive leadership",NA,"Provincial Government",2020-04-06,NA,0.8
104,"MM","Kayah","MM-12",2020-12-15,"med_stay",1,1,"executive leadership",NA,"Provincial Government",2020-12-15,NA,1
104,"MM","Kayah","MM-12",2020-04-06,"publ_tr",1,1,"executive leadership",NA,"Provincial Government",2020-04-06,NA,1
104,"MM","Kayin","MM-13",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Kayin","MM-13",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Kayin","MM-13",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Kayin","MM-13",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Kayin","MM-13",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Kayin","MM-13",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Kayin","MM-13",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Kayin","MM-13",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Kayin","MM-13",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Kayin","MM-13",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Kayin","MM-13",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Kayin","MM-13",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Kayin","MM-13",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Chin","MM-14",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Chin","MM-14",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Chin","MM-14",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Chin","MM-14",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Chin","MM-14",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Chin","MM-14",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Chin","MM-14",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Chin","MM-14",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Chin","MM-14",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Chin","MM-14",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Chin","MM-14",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Chin","MM-14",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Chin","MM-14",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Mon","MM-15",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Mon","MM-15",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Mon","MM-15",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Mon","MM-15",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Mon","MM-15",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Mon","MM-15",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Mon","MM-15",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Mon","MM-15",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Mon","MM-15",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Mon","MM-15",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Mon","MM-15",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Mon","MM-15",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Mon","MM-15",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Mon","MM-15",2020-04-06,"ind_mob",1,0.8,"executive leadership",NA,"Provincial Government",2020-04-06,NA,0.8
104,"MM","Mon","MM-15",2020-04-06,"publ_tr",1,1,"executive leadership",NA,"Provincial Government",2020-04-06,NA,1
104,"MM","Rakhine","MM-16",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Rakhine","MM-16",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Rakhine","MM-16",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Rakhine","MM-16",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Rakhine","MM-16",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Rakhine","MM-16",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Rakhine","MM-16",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Rakhine","MM-16",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Rakhine","MM-16",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Rakhine","MM-16",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Rakhine","MM-16",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Rakhine","MM-16",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Rakhine","MM-16",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Shan","MM-17",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Shan","MM-17",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Shan","MM-17",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Shan","MM-17",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Shan","MM-17",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Shan","MM-17",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Shan","MM-17",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Shan","MM-17",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Shan","MM-17",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Shan","MM-17",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Shan","MM-17",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Shan","MM-17",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Shan","MM-17",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Shan","MM-17",2020-04-06,"ind_mob",1,0.8,"executive leadership",NA,"Provincial Government",2020-04-06,NA,0.8
104,"MM","Shan","MM-17",2020-04-06,"publ_tr",1,1,"executive leadership",NA,"Provincial Government",2020-04-06,NA,1
104,"MM","Nay Pyi Taw","MM-18",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Nay Pyi Taw","MM-18",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Nay Pyi Taw","MM-18",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
